"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[26334]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / MONGOLIA - MESOZOIC / EASTERN MONGOLIA / BAYAN-ADARGA VOLCANIC FIELD","EASTERN MONGOLIAN VOLCANIC AREA","48.606601","48.606601","110.151417","110.151417","SAE","","","s_VG-5/97 [26334]","BASALTIC-TRACHYANDESITE [26334]","","","","CRETACEOUS [26334]","","","","","VOL","","","","","WR [26334] ","53.39","2.41","","15.19","","","","10.07","6.6","3.04","0.135","","1.89","3.66","1.31","","","","","","","","","","","","","","","","1.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2429859",
"[26334]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / MONGOLIA - MESOZOIC / EASTERN MONGOLIA / BAYAN-ADARGA VOLCANIC FIELD","EASTERN MONGOLIAN VOLCANIC AREA","48.568052","48.568052","110.72349","110.72349","SAE","","","s_VG-5/103 [26334]","BASALTIC-TRACHYANDESITE [26334]","","","","CRETACEOUS [26334]","","","","","VOL","","","","","WR [26334] ","50.09","3.06","","14.7","","","","11.12","7.59","3.12","0.139","","2.02","3.43","1.67","","","","","","","","","","","","","","","","2.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2429865",
"[26334]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / MONGOLIA - MESOZOIC / EASTERN MONGOLIA / BAYAN-ADARGA VOLCANIC FIELD","EASTERN MONGOLIAN VOLCANIC AREA","47.888941","47.888941","109.780688","109.780688","SAE","","","s_VG-5/105 [26334]","BASALTIC-TRACHYANDESITE [26334]","","","","CRETACEOUS [26334]","","","","","VOL","","","","","WR [26334] ","51.48","3.09","","14.74","","","","11","6.55","3.45","0.13","","2.04","3.19","1.76","","","","","","","","","","","","","","","","2.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2429867",
"[26392]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ELAZIG UNIT","","38.7596","38.7596","39.1786","39.1786","SAE","","","s_GMB9 [26392]","BASALTIC-TRACHYANDESITE [26392]","","","","QUATERNARY [26392]","","","","","VOL","","","","","WR [26392] ","51.05","1.72","","17.6","0.02","","","8.22","7.19","6.95","0.14","","2.38","4.78","0.67","","","","","","","","","","","","","","","","-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","156","","","","33.3","101","34","64","18.5","","","","","39.6","643","22","309","53.2","2.4","","","","","","","","0.3","","","0.4","383","37","72.2","7.48","28.4","5.37","1.69","5.19","0.73","4.47","0.86","2.28","0.32","2.27","0.32","6","3.1","","","","","","","","","1.1","","5.7","2","","","","","","","","","","","","","","","","","","","","","","","","","2439169",
"[26392]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ELAZIG UNIT","","38.7536","38.7536","39.1729","39.1729","SAE","","","s_GMB10 [26392]","BASALTIC-TRACHYANDESITE [26392]","","","","QUATERNARY [26392]","","","","","VOL","","","","","WR [26392] ","50.41","1.67","","17.24","0.022","","","7.85","7.11","6.7","0.14","","2.36","4.62","0.65","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","150","","","","31","96","35.6","65","18.7","","","","","40.5","668","21.6","308","51.5","2","","","","","","","","0","","","0.5","388","37","71.1","7.45","27.9","5.47","1.75","5.27","0.73","4.18","0.82","2.31","0.32","2.02","0.33","5.6","2.7","","","","","","","","","1.5","","6","1.9","","","","","","","","","","","","","","","","","","","","","","","","","2439170",
"[12941][21396]","SEAMOUNT","AZORES / JOAO DE CASTRO","BANCO JOÃO DE CASTRO","38.2288","38.2288","-26.6511","-26.6511","SAQ","","","s_558DS-8 [12941] / s_558 DS-8 [21396]","BASALTIC-TRACHYANDESITE [12941] / NOT GIVEN [21396]","1000000 [12941]","1000000 [12941]","","PLEISTOCENE [12941]","","","","","VOL","","","","","GL [12941] / WR [21396] ","49.42","3.29","","16.33","","","","8.32","7.82","3.73","0.19","","3.12","4.1","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.41","","","1.82","","","6.77","","3.95","107","","","","","","108","766","36.6","476","87.4","4.93","","","","","","","","","","","0.86","1165","80.4","151","17","60.8","10.8","3.12","8.63","1.21","6.79","1.27","","0.49","3.14","0.47","11.3","4.39","","","","","","","","","4.94","","9.58","2.84","0.5128393","","","0.703565","","18.85","","15.48","","38.66","","","","","","","","0.282863","","","","","","","244191",
"[12941][21396]","OCEAN ISLAND","AZORES / TERCEIRA","E OF MISTERIOS DOS NEGORS","38.7334","38.7334","-27.2753","-27.2753","SAE","","","s_AZT-03-18 [12941] / s_AZT 03-18 [21396]","BASALTIC-TRACHYANDESITE [12941] / NOT GIVEN [21396]","1000000 [12941]","1000000 [12941]","","PLEISTOCENE [12941]","","","","","VOL","","","","","WR [12941] ","53.45","2.54","","15","","","","9.99","6.29","3.18","0.24","","1.87","5.32","1.15","","","","","","","","","","","","","","","","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9","","","0.59","","","9.15","0.47","3.4","152","","","","","","39.2","729","58.4","429","92.3","3.76","","","","","","","","","","","0.36","745","79.4","166","20.2","84.3","18.7","6.56","17.5","2.54","13.9","2.5","6.33","0.83","5.13","0.71","10.9","5.57","","","","","","","","","2.97","","5.95","2.05","0.513009","","","0.703556","","19.89","","15.61","","39.23","","","","","","","","0.283088","","","","","","","244203",
"[26444]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / ANTI-ATLAS / OUARZAZATE SUPERGROUP","TAGRAGRA OUHALLAL INLIER","29.5","29.5","-9","-9","SAE","","","s_TA39 [26444]","BASALTIC-TRACHYANDESITE [26444]","","","NEO [26444]","PROTEROZOIC [26444]","","","","","VOL","","","","","WR [26444] ","52.7","1.21","","20.9","","","","6.24","2","3.4","0.1","","3","5.7","0.36","","","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","30","","","26","","","","","","","","","78","458","16.9","180","11.9","","","","","","","","","","","","","1090","24.4","48.5","5.2","22.1","3.9","1.1","3.5","0.4","2.9","0.4","0.8","0.1","0.5","0.1","4.9","1","","","","","","","","","","","4.7","5.9","","","","","","","","","","","","","","","","","","","","","","","","","2450001",
"[26444]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / ANTI-ATLAS / OUARZAZATE SUPERGROUP","TAGRAGRA OUHALLAL INLIER","29.5","29.5","-9","-9","SAE","","","s_TA54 [26444]","BASALTIC-TRACHYANDESITE [26444]","","","NEO [26444]","PROTEROZOIC [26444]","","","","","VOL","","","","","WR [26444] ","53.3","1.19","","19.8","","","","6.83","0.9","4.9","0.06","","2.93","4.8","0.35","","","","","","","","","","","","","","","","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","49","","","26","","","","","","","","","88","143","15.3","145","9.9","","","","","","","","","","","","","810","12","23.2","2.8","12.7","2.9","0.9","3","0.4","2.4","0.4","0.8","0.1","0.5","0.1","4.8","0.9","","","","","","","","","","","6.8","4.8","","","","","","","","","","","","","","","","","","","","","","","","","2450002",
"[26444]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / ANTI-ATLAS / OUARZAZATE SUPERGROUP","TAGRAGRA OUHALLAL INLIER","29.5","29.5","-9","-9","SAE","","","s_TA45 [26444]","BASALTIC-TRACHYANDESITE [26444]","","","NEO [26444]","PROTEROZOIC [26444]","","","","","VOL","","","","","WR [26444] ","54.3","1.37","","18.2","","","","7.71","2","3.9","0.07","","2.87","4.7","0.22","","","","","","","","","","","","","","","","2.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146","100","","","26","12","","","","","","","","69","388","15.1","162","11.1","","","","","","","","","","","","","782","23","48.2","5.4","22.5","4.3","1.4","4","0.6","2.8","0.3","0.7","0.1","0.5","0.1","4.4","0.9","","","","","","","","","","","7","5.2","","","","","","","","","","","","","","","","","","","","","","","","","2450003",
"[26444]","INTRAPLATE VOLCANICS","ATLAS MOUNTAINS / ATLAS MOUNTAINS / ANTI-ATLAS / OUARZAZATE SUPERGROUP","TAGRAGRA OUHALLAL INLIER","29.5","29.5","-9","-9","SAE","","","s_TA44 [26444]","BASALTIC-TRACHYANDESITE [26444]","","","NEO [26444]","PROTEROZOIC [26444]","","","","","VOL","","","","","WR [26444] ","54.7","1.34","","16","","","","6.9","3.4","5.6","0.12","","2.89","2.5","0.37","","","","","","","","","","","","","","","","5.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137","92","","","38","30","","","","","","","","72","162","23.3","157","10.9","","","","","","","","","","","","","949","49.5","93.6","7.9","27.3","4.2","1.2","4","0.5","2.2","0.3","0.6","0.1","0.5","0.1","4.4","0.9","","","","","","","","","","","4.5","5.5","","","","","","","","","","","","","","","","","","","","","","","","","2450004",
"[26512]","OCEAN ISLAND","LORD HOWE TRACK / LORD HOWE ISLAND / MOUNT LIDGBIRD UNIT","MOUNT GOWER - N SPUR","-31.5816","-31.5816","159.0819","159.0819","SAE","","","s_73-624 [26512]","BASALTIC-TRACHYANDESITE [26512]","","","","","","","","","VOL","","","","","WR [26512] ","52.18","3.16","","16.46","","","","9.46","7.58","4","0.12","","2.2","4.15","0.69","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","9.18","","","","","","","","","","","","","","17.37","","207.05","2.72","","","27.75","","22.05","124.88","26.6","","","","","37.96","664","26.13","308.6","51.6","80.41","","","","","","","","","","","","485.8","43.71","89.13","10.72","43.83","8.96","2.82","7.87","1.01","5.75","0.99","2.57","0.31","1.94","0.26","7.16","2.99","393.46","","","","","","","","","","6.06","1.33","0.512703","","","","","","","","","","","","","","","","","","","","","","","","2461555",
"[26538]","CONVERGENT MARGIN","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO NEVADO","PAYENIA VOLCANIC PROVINCE","-35.5931","-35.5931","-68.5036","-68.5036","SAE","","","s_94J [26538]","BASALTIC-TRACHYANDESITE [26538]","","","","PLEISTOCENE [26538]","","","","","VOL","","","","","WR [26538] ","55.2","1.14","","17.91","","","6.98","6.98","6.72","3.6","0.15","","3.05","4.63","0.58","","","","","","","","","","","","","","","","-0.07","","","","","","","","","","","","","","","2.61","","","","","","","","","","","","","13.5","","145","45","","","19.97","26","32.3","90","23.15","1.47","","","","108.8","898","23.6","279","21.4","2.91","","","","","","","1.8","","","","7.67","1081","39.3","83.3","9.44","35.4","6.7","1.9","5.4","0.78","4.5","0.88","2.3","0.32","2.24","0.34","6.34","1.99","1.68","","","","","","","","20.82","","20.3","5.12","0.512806","","","0.703997","","","","","","","","","","","","","","","","","","","","","2467293",
"[26538]","CONVERGENT MARGIN","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO NEVADO","PAYENIA VOLCANIC PROVINCE","-35.6294","-35.6294","-68.5304","-68.5304","SAE","","","s_94K [26538]","BASALTIC-TRACHYANDESITE [26538]","","","","PLEISTOCENE [26538]","","","","","VOL","","","","","WR [26538] ","52.8","1.33","","18.03","","","8.31","8.31","6.79","3.21","0.2","","3.03","4.8","0.92","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","2.99","","","","","","","","","","","","","12.3","","135","0","","","18.75","8","37.3","112","22.78","1.46","","","","99.7","948","32.2","325","25","3.59","","","","","","","2.23","","","","4.41","1039","48.5","108","12.72","48.5","9.35","2.5","7.38","1.07","6.1","1.21","3.12","0.43","3.08","0.47","7.02","2.16","1.62","","","","","","","","21.14","","20.76","4.65","0.512808","","","0.704055","","","","","","","","","","","","","","","","","","","","","2467294",
"[26538]","CONVERGENT MARGIN","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO NEVADO","PAYENIA VOLCANIC PROVINCE","-35.5881","-35.5881","-68.4998","-68.4998","SAE","","","s_94H [26538]","BASALTIC-TRACHYANDESITE [26538]","","","","PLEISTOCENE [26538]","","","","","VOL","","","","","WR [26538] ","52.05","1.26","","17.2","","","7.82","7.83","8.41","4.3","0.16","","2.24","4.08","0.52","","","","","","","","","","","","","","","","0.65","","","","","","","","","","","","","","","2.08","","","","","","","","","","","","","0","","204","59","","","26","32","39.9","94","23.05","1.49","","","","69.7","998","24.6","220","18.56","2.86","","","","","","","1.3","","","","1.62","1075","39.9","74.9","8.94","34.5","6.91","2.05","5.76","0.82","4.62","0.83","2.28","0.33","2.24","0.34","4.98","1.41","1.3","","","","","","","","17.37","","14.03","4.33","0.512783","","","0.704142","","","","","","","","","","","","","","","","","","","","","2467295",
"[26538]","CONVERGENT MARGIN","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO NEVADO","PAYENIA VOLCANIC PROVINCE","-35.5931","-35.5931","-68.5036","-68.5036","SAE","","","s_94J [26538]","BASALTIC-TRACHYANDESITE [26538]","","","","PLEISTOCENE [26538]","","","","","VOL","","","","","WR [26538] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.703996","","","","","","","","","","","","","","","","","","","","","2467300",
"[9319]","CONVERGENT MARGIN","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / FAJA ERUPTIVA OCCIDENTAL","NORTHERN PUNA REGION OF ARGENTINA, HUAITIQUINA","-23.7333","-23.7333","-67.2333","-67.2333","SAE","","","s_BHUA10 [9319]","BASALTIC-TRACHYANDESITE [9319]","","","","","","","","","VOL","","","","","WR [9319] ","50.3","0.82","","19","","","","6.03","4.79","6.8","0.13","","1.85","4.63","0.29","","","","","","","","","","","","","","","","4.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","125","152","","","27","76","","","","","0","","","61","600","15","64","12","","","","","","","","","0","","","4","459","20.4","40.5","","18.4","3.9","1.1","","","","","","","1.7","0.2","2","0","","","","","","","","","5","","6","1","","","","","","","","","","","","","","","","","","","","","","","","","247055",
"[9319]","CONVERGENT MARGIN","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / FAJA ERUPTIVA OCCIDENTAL","NORTHERN PUNA REGION OF ARGENTINA, HUAITIQUINA","-23.7333","-23.7333","-67.2333","-67.2333","SAE","","","s_BHUA10 [9319]","BASALTIC-TRACHYANDESITE [9319]","","","","","","","","","VOL","","","","","WR [9319] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.42","3.68","","","","","","","","","","","","","","","","","","","","","","","","0.512473","","","","","","","","","","","","","","","","","","","","","","","","247090",
"[8012]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIAN CRATON / CARAJAS PROVINCE / RIO MARIA DOMAIN / ANDORINHAS GREENSTONE BELT - SERRA DOS CARAJAS GRE","CREEK NORTHEAST OF N1","-5","-5.3","-50","-50.7","SAE","","","s_GB-93 [8012]","BASALTIC-TRACHYANDESITE [8012]","","","","ARCHEAN [8012]","","","","","VOL","","","","","WR [8012] ","53.36","0.84","","15.09","","","","12.17","8.78","5.45","0.22","","1.17","2.48","0.08","","","","","","","","","","","","","","","","1.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","","70","","","57","82","","","","","","","","43","146","","","","","","","","","","","","","","","0.23","594","15.3","30","","13.58","3.03","1.01","","0.64","","","","","2.5","0.35","2.43","0.34","","","","","","","","","","","4.37","1.44","0.511634","","","0.74011","","","","","","","","","","","","","","","","","","","","","247196",
"[8012]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIAN CRATON / CARAJAS PROVINCE / RIO MARIA DOMAIN / ANDORINHAS GREENSTONE BELT - SERRA DOS CARAJAS GRE","QUARRY BETWEEN N4 AND N5","-5","-5.3","-50","-50.7","SAE","","","s_GB-67 [8012]","BASALTIC-TRACHYANDESITE [8012]","","","","ARCHEAN [8012]","","","","","VOL","","","","","WR [8012] ","53.82","0.76","","14.47","","","","11.1","7.14","6.58","0.52","","2.3","2.91","0.07","","","","","","","","","","","","","","","","2.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","","141","","","50","63","","","","","","","","79","130","","","","","","","","","","","","","","","0.37","1847","13.1","26","","11.97","2.7","0.81","","0.55","","","","","2.1","0.28","1.92","0.28","","","","","","","","","","","3.93","1.19","0.511781","","","0.77515","","","","","","","","","","","","","","","","","","","","","247197",
"[8012]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIAN CRATON / CARAJAS PROVINCE / RIO MARIA DOMAIN / ANDORINHAS GREENSTONE BELT - SERRA DOS CARAJAS GRE","CREEK NORTHEAST OF N1","-5","-5.3","-50","-50.7","SAE","","","s_GB-74 [8012]","BASALTIC-TRACHYANDESITE [8012]","","","","ARCHEAN [8012]","","","","","VOL","","","","","WR [8012] ","54.07","0.86","","14.93","","","","12.45","4.1","7.17","0.32","","2.39","2.72","0.06","","","","","","","","","","","","","","","","3.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","","121","","","45","29","","","","","","","","","","","","","","","","","","","","","","","","0.32","1499","12.5","24","","","3.06","0.92","","0.55","","","","","2.2","0.3","2.65","0.55","","","","","","","","","","","4.54","1.58","","","","","","","","","","","","","","","","","","","","","","","","","247198",
"[8012]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIAN CRATON / CARAJAS PROVINCE / RIO MARIA DOMAIN / ANDORINHAS GREENSTONE BELT - SERRA DOS CARAJAS GRE","CREEK NORTHEAST OF N1","-5","-5.3","-50","-50.7","SAE","","","s_GB-86 [8012]","BASALTIC-TRACHYANDESITE [8012]","","","","ARCHEAN [8012]","","","","","VOL","","","","","WR [8012] ","54.34","0.76","","15.17","","","","10.41","7.13","6.3","0.19","","1.46","4.17","0.05","","","","","","","","","","","","","","","","1.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","","259","","","45","66","","","","","","","","36","127","","","","","","","","","","","","","","","0.49","522","13","24","","12.34","2.76","0.66","","0.49","","","","","1.8","0.25","2.04","0.3","","","","","","","","","","","3.49","0.91","0.511711","","","0.73871","","","","","","","","","","","","","","","","","","","","","247199",
"[8012]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIAN CRATON / CARAJAS PROVINCE / RIO MARIA DOMAIN / ANDORINHAS GREENSTONE BELT - SERRA DOS CARAJAS GRE","CREEK NORTHEAST OF N1","-5","-5.3","-50","-50.7","SAE","","","s_GB-96 [8012]","BASALTIC-TRACHYANDESITE [8012]","","","","ARCHEAN [8012]","","","","","VOL","","","","","WR [8012] ","54.39","0.97","","14","","","","11.82","7.14","5.57","0.21","","2.56","3.08","0.07","","","","","","","","","","","","","","","","1.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","79","","","51","81","","","","","","","","","","","","","","","","","","","","","","","","0.57","1367","17.4","34","","","3.88","1","","0.74","","","","","2.5","0.41","2.77","0.41","","","","","","","","","","","5.41","1.99","","","","","","","","","","","","","","","","","","","","","","","","","247200",
"[8012]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIAN CRATON / CARAJAS PROVINCE / RIO MARIA DOMAIN / ANDORINHAS GREENSTONE BELT - SERRA DOS CARAJAS GRE","EAST OF N5","-5","-5.3","-50","-50.7","SAE","","","s_GB-104 [8012]","BASALTIC-TRACHYANDESITE [8012]","","","","ARCHEAN [8012]","","","","","VOL","","","","","WR [8012] ","54.4","0.88","","14.51","","","","10.19","6.5","5.81","0.62","","3.22","2.6","0.04","","","","","","","","","","","","","","","","2.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120","155","","","","","","","","","","","","","","","","","","","","12.99","2.9","","","","","","","","","","","","","","","","","","","","","","","","0.511483","","","0.79237","","","","","","","","","","","","","","","","","","","","","247201",
"[8012]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIAN CRATON / CARAJAS PROVINCE / RIO MARIA DOMAIN / ANDORINHAS GREENSTONE BELT - SERRA DOS CARAJAS GRE","EAST OF N5","-5","-5.3","-50","-50.7","SAE","","","s_GB-102 [8012]","BASALTIC-TRACHYANDESITE [8012]","","","","ARCHEAN [8012]","","","","","VOL","","","","","WR [8012] ","54.77","0.84","","15.02","","","","9.58","6.35","5.96","0.58","","2.73","3.48","0.06","","","","","","","","","","","","","","","","2.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","","137","","","44","61","","","","","","","","101","129","","","","","","","","","","","","","","","0.22","1736","12.9","25","","11.86","2.7","0.8","","0.53","","","","","2.1","0.32","2.16","0.33","","","","","","","","","","","4.21","1.5","0.511789","","","0.79519","","","","","","","","","","","","","","","","","","","","","247202",
"[8012]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","AMAZONIAN CRATON / CARAJAS PROVINCE / RIO MARIA DOMAIN / ANDORINHAS GREENSTONE BELT - SERRA DOS CARAJAS GRE","CREEK NORTHEAST OF N1","-5","-5.3","-50","-50.7","SAE","","","s_GB-84 [8012]","BASALTIC-TRACHYANDESITE [8012]","","","","ARCHEAN [8012]","","","","","VOL","","","","","WR [8012] ","55.03","1.08","","14.25","","","","11.18","7.53","5.47","0.34","","0.37","4.52","0.08","","","","","","","","","","","","","","","","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","","102","","","43","43","","","","","","","","","","","","","","","","","","","","","","","","0.06","155","10.4","22","","","3.07","0.94","","0.67","","","","","2.5","0.34","2.94","0.79","","","","","","","","","","","4.57","1.32","","","","","","","","","","","","","","","","","","","","","","","","","247203",
"[26631]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT","ÇANAKÇI","40.8291","40.8291","33.1495","33.1495","SAE","","","s_GG-7B [26631]","BASALTIC-TRACHYANDESITE [26631]","","","UPPER [26631]","CRETACEOUS [26631]","","","","","VOL","","","","","WR [26631] ","51.22","0.8","","16.1","","","","9.4","3.15","8.46","0.17","","1.12","4.34","0.15","","","","","","","","","","","","","","","","3.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","292","","","","31","15.6","","","14.3","","","","","15.1","172.4","16.8","44.7","2.1","","","","","","","","","","","","0.4","199","6.9","14.6","1.85","8.3","2.09","0.81","2.65","0.47","2.94","0.63","1.92","0.26","1.68","0.26","1.4","0.2","","","","","","","","","","","2.4","0.9","","0.51256","","","0.70619","","18.051","","15.653","","37.97","","","","","","","","","","","","","","2485552",
"[26631]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT","ÇÖMLEKÇI","40.8492","40.8492","32.9785","32.9785","SAE","","","s_GC2 [26631]","BASALTIC-TRACHYANDESITE [26631]","","","UPPER [26631]","CRETACEOUS [26631]","","","","","VOL","","","","","WR [26631] ","51.25","1.61","","17","","","","8.66","6.8","5.6","0.21","","1.21","4.57","0.41","","","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","222","","","","27.3","22.5","","","16.8","","","","","23.9","510.5","34.1","216.9","10","","","","","","","","","","","","1.5","248","21.3","49.6","6.4","27.1","5.89","1.93","6.28","1.01","6.15","1.24","3.81","0.52","3.61","0.54","5.3","0.6","","","","","","","","","","","2.5","0.8","","0.5127","","","0.70476","","","","","","","","","","","","","","","","","","","","2485553",
